PLAYER NAME,SG_off_tee_2021_AVERAGE,SG_tee_green_2021_AVERAGE,driving_dist_2021_AVG.,pct_ydg_tee_2021_AVG (%),driving_320+_2021_%,SG_approach_green_2021_AVERAGE,GIR_pct_2021_%,GOFIR_pct_2021_%,GIR_pct_fwy_2021_%,GIR_pct_not_fwy_2021_%,fwy_prox_2021_AVG,rough_prox_2021_AVG,SG_ATG_2021_AVERAGE,pct_sand_save_2021_%,scrambling_2021_%,SG_putt_2021_AVERAGE,pct_one_putt_2021_%,pct_three_putt_avoid_2021_%,putt_avg_2021_AVG,putts_per_rd_2021_AVG,bogey_avoid_2021_% MAKES BOGEY,btb_ratio_2021_BIRDIE TO BOGEY RATIO,money_2021_MONEY,SG_off_tee_2020_AVERAGE,SG_tee_green_2020_AVERAGE,driving_dist_2020_AVG.,pct_ydg_tee_2020_AVG (%),driving_320+_2020_%,SG_approach_green_2020_AVERAGE,GIR_pct_2020_%,GOFIR_pct_2020_%,GIR_pct_fwy_2020_%,GIR_pct_not_fwy_2020_%,fwy_prox_2020_AVG,rough_prox_2020_AVG,SG_ATG_2020_AVERAGE,pct_sand_save_2020_%,scrambling_2020_%,SG_putt_2020_AVERAGE,pct_one_putt_2020_%,pct_three_putt_avoid_2020_%,putt_avg_2020_AVG,putts_per_rd_2020_AVG,bogey_avoid_2020_% MAKES BOGEY,btb_ratio_2020_BIRDIE TO BOGEY RATIO,money_2020_MONEY,SG_off_tee_2019_AVERAGE,SG_tee_green_2019_AVERAGE,driving_dist_2019_AVG.,pct_ydg_tee_2019_AVG (%),driving_320+_2019_%,SG_approach_green_2019_AVERAGE,GIR_pct_2019_%,GOFIR_pct_2019_%,GIR_pct_fwy_2019_%,GIR_pct_not_fwy_2019_%,fwy_prox_2019_AVG,rough_prox_2019_AVG,SG_ATG_2019_AVERAGE,pct_sand_save_2019_%,scrambling_2019_%,SG_putt_2019_AVERAGE,pct_one_putt_2019_%,pct_three_putt_avoid_2019_%,putt_avg_2019_AVG,putts_per_rd_2019_AVG,bogey_avoid_2019_% MAKES BOGEY,btb_ratio_2019_BIRDIE TO BOGEY RATIO,money_2019_MONEY,SG_off_tee_2018_AVERAGE,SG_tee_green_2018_AVERAGE,driving_dist_2018_AVG.,pct_ydg_tee_2018_AVG (%),driving_320+_2018_%,SG_approach_green_2018_AVERAGE,GIR_pct_2018_%,GOFIR_pct_2018_%,GIR_pct_fwy_2018_%,GIR_pct_not_fwy_2018_%,fwy_prox_2018_AVG,rough_prox_2018_AVG,SG_ATG_2018_AVERAGE,pct_sand_save_2018_%,scrambling_2018_%,SG_putt_2018_AVERAGE,pct_one_putt_2018_%,pct_three_putt_avoid_2018_%,putt_avg_2018_AVG,putts_per_rd_2018_AVG,bogey_avoid_2018_% MAKES BOGEY,btb_ratio_2018_BIRDIE TO BOGEY RATIO,money_2018_MONEY,SG_off_tee_2017_AVERAGE,SG_tee_green_2017_AVERAGE,driving_dist_2017_AVG.,pct_ydg_tee_2017_AVG (%),driving_320+_2017_%,SG_approach_green_2017_AVERAGE,GIR_pct_2017_%,GOFIR_pct_2017_%,GIR_pct_fwy_2017_%,GIR_pct_not_fwy_2017_%,fwy_prox_2017_AVG,rough_prox_2017_AVG,SG_ATG_2017_AVERAGE,pct_sand_save_2017_%,scrambling_2017_%,SG_putt_2017_AVERAGE,pct_one_putt_2017_%,pct_three_putt_avoid_2017_%,putt_avg_2017_AVG,putts_per_rd_2017_AVG,bogey_avoid_2017_% MAKES BOGEY,btb_ratio_2017_BIRDIE TO BOGEY RATIO,money_2017_MONEY
Bryson DeChambeau,1.1440000000000001,2.099,321.1,66.8,51.47,0.696,66.67,80.34,80.87,50.25,374.0,572.0,0.259,48.89,61.27,0.435,41.01,3.27,1.7519999999999998,28.74,14.54,1.84,5443091.0,1.0390000000000001,0.9079999999999999,322.1,67.88,56.45,-0.09,68.46,75.54,80.52,53.78,361.0,524.0,-0.040999999999999995,62.89,63.92,0.6579999999999999,43.19,2.15,1.726,28.26,12.99,1.94,4998495.0,0.42100000000000004,0.6409999999999999,302.5,63.69,15.97,0.23600000000000002,66.2,73.91,75.53,52.54,383.0,528.0,-0.016,52.29,62.33,0.37200000000000005,42.36,3.09,1.733,28.51,14.89,1.59,3186232.0,0.586,1.212,305.7,64.33,25.81,0.556,69.65,77.07,78.75,58.7,372.0,490.0,0.07,48.67,59.84,0.34600000000000003,39.31,3.58,1.758,29.18,14.99,1.61,8094489.0,0.42,0.38299999999999995,299.4,63.72,14.61,-0.02,65.48,72.07,76.24,52.8,376.0,540.0,-0.016,46.0,57.32,-0.193,38.39,3.25,1.785,29.16,17.42,1.17,1817054.0
Jon Rahm,0.841,1.7,307.1,64.01,29.17,0.5820000000000001,72.11,85.9,83.8,57.32,372.0,612.0,0.326,50.0,63.07,-0.019,38.43,2.55,1.75,29.04,14.0,1.79,3556232.0,0.7559999999999999,1.344,307.6,65.58,27.59,0.28300000000000003,70.31,76.9,83.5,50.5,367.0,593.0,0.304,58.82,64.52,0.479,41.0,1.53,1.7169999999999999,28.47,11.78,2.07,5959819.0,0.6920000000000001,1.17,305.6,64.37,24.22,0.405,69.04,76.52,80.0,50.42,371.0,527.0,0.073,52.83,59.63,0.336,39.22,2.21,1.736,28.78,14.05,1.77,4990110.0,0.8170000000000001,1.0390000000000001,308.9,66.49,33.06,0.047,70.12,77.56,82.73,54.62,369.0,541.0,0.17600000000000002,48.54,57.18,-0.151,38.89,3.54,1.7469999999999999,29.14,15.82,1.6,3992678.0,0.9490000000000001,1.5219999999999998,305.8,65.26,25.95,0.515,68.61,76.61,78.25,56.42,368.0,474.0,0.057,58.78,63.33,0.256,40.23,3.82,1.761,28.88,14.32,1.64,6123248.0
Rory McIlroy,0.774,1.064,318.2,64.96,48.68,0.17800000000000002,65.35,74.37,79.47,53.1,385.0,583.0,0.11199999999999999,57.35,57.81,0.04,42.11,3.36,1.743,28.76,17.11,1.48,1782342.0,0.7020000000000001,1.314,314.0,66.12,42.31,0.504,67.78,74.95,84.08,50.41,347.0,554.0,0.10800000000000001,45.16,60.63,-0.071,41.02,2.69,1.7380000000000002,28.57,14.63,1.68,4408415.0,1.195,2.126,313.5,65.85,35.94,0.633,68.55,78.56,78.34,52.6,352.0,499.0,0.297,55.34,63.38,0.425,42.32,1.8,1.7009999999999998,28.38,12.42,2.09,7785286.0,0.7609999999999999,1.351,319.7,66.53,48.36,0.26899999999999996,66.3,73.31,81.13,51.59,344.0,532.0,0.322,52.43,62.97,0.06,41.71,2.46,1.736,28.46,14.57,1.58,4410296.0,0.965,1.382,317.2,67.26,43.18,0.322,65.63,74.85,79.19,53.97,376.0,510.0,0.095,63.24,62.29,-0.304,40.74,3.59,1.7719999999999998,28.75,15.86,1.39,2430182.0
Emiliano Grillo,0.61,0.833,299.9,63.64,13.28,0.5529999999999999,73.18,79.81,80.52,65.29,347.0,491.0,-0.32899999999999996,46.05,61.49,-0.013000000000000001,37.67,2.52,1.756,29.3,12.5,1.91,1482028.0,0.25,0.723,295.7,63.06,7.89,0.58,71.54,77.43,80.63,57.65,345.0,526.0,-0.107,46.74,53.15,-0.905,33.76,3.59,1.8030000000000002,30.23,16.32,1.32,849538.0,0.47,1.051,295.7,62.01,10.61,0.9259999999999999,68.73,73.54,76.75,51.72,364.0,516.0,-0.345,47.93,55.13,-0.633,35.04,3.85,1.79,29.78,17.02,1.28,1752114.0,0.364,0.5870000000000001,295.2,62.04,10.12,0.345,68.84,73.59,76.8,51.17,363.0,592.0,-0.122,54.84,61.05,0.546,40.1,2.72,1.754,29.04,14.43,1.51,2493163.0,0.368,0.532,293.3,61.97,10.76,0.281,66.99,73.32,77.16,48.46,372.0,538.0,-0.11599999999999999,53.28,55.71,-0.17300000000000001,38.12,3.51,1.784,29.33,17.5,1.18,1567015.0
Ryan Moore,0.5670000000000001,0.563,287.4,60.36,8.33,-0.08800000000000001,64.81,68.25,72.54,51.09,387.0,543.0,0.084,52.5,60.53,-0.7929999999999999,39.12,2.78,1.7790000000000001,29.25,15.74,1.15,164271.0,0.29100000000000004,0.526,289.9,61.77,6.94,0.37,68.56,73.37,77.62,54.17,358.0,485.0,-0.136,47.95,59.04,0.033,40.4,2.53,1.742,28.82,14.9,1.47,957540.0,0.114,0.765,282.2,59.98,3.79,0.596,68.17,72.4,75.16,52.57,382.0,536.0,0.055,45.53,59.2,0.062,39.86,2.55,1.736,28.82,15.09,1.49,1838788.0,0.406,1.2109999999999999,289.2,61.32,7.05,0.532,68.8,73.91,76.49,55.05,374.0,533.0,0.273,47.14,64.16,-0.271,38.6,2.56,1.777,29.17,13.39,1.49,1986608.0,-0.006,0.319,288.0,60.71,7.75,0.498,65.05,72.39,73.1,50.14,376.0,515.0,-0.17300000000000001,47.3,56.74,-0.017,39.52,2.81,1.764,29.04,17.16,1.18,1751851.0
Luke List,0.537,0.519,312.5,64.76,36.84,0.078,66.67,73.77,79.77,55.74,401.0,555.0,-0.10300000000000001,48.54,57.02,-0.5670000000000001,39.86,4.0,1.77,29.25,18.03,1.25,554462.0,0.387,0.805,307.8,65.08,26.92,0.3,69.48,76.93,79.64,58.39,367.0,520.0,0.11800000000000001,53.85,57.52,-0.504,35.75,3.54,1.8030000000000002,29.77,15.7,1.36,731507.0,0.48100000000000004,0.48200000000000004,313.3,64.59,34.13,-0.005,65.43,73.33,75.85,55.8,388.0,518.0,0.006,46.46,54.59,-0.28,37.74,3.44,1.786,29.29,18.52,1.16,1391408.0,0.795,1.337,314.6,65.72,36.78,0.19399999999999998,68.36,75.93,79.64,58.71,389.0,516.0,0.349,52.22,58.41,-0.467,36.43,3.33,1.794,29.45,15.96,1.37,2710736.0,0.6,1.117,311.5,64.89,36.22,0.44299999999999995,69.1,76.74,79.5,59.64,366.0,488.0,0.07400000000000001,46.43,56.33,-0.426,36.9,3.74,1.78,29.52,16.44,1.41,1813219.0
Bubba Watson,0.516,1.1320000000000001,304.5,63.35,25.0,0.5820000000000001,67.11,82.76,75.32,59.91,407.0,553.0,0.066,46.81,60.0,-0.461,34.5,3.95,1.817,29.66,17.69,1.17,1219734.0,0.649,0.648,311.0,65.88,38.79,0.20800000000000002,67.68,74.85,80.68,53.75,373.0,478.0,-0.209,45.36,58.07,0.064,37.54,2.27,1.766,29.14,15.49,1.36,1565323.0,0.743,0.624,311.6,66.29,33.62,-0.052000000000000005,66.76,75.56,78.81,54.41,397.0,556.0,-0.067,49.47,57.35,-0.344,37.64,4.6,1.811,29.72,17.62,1.22,1558014.0,0.78,0.5539999999999999,313.1,66.58,39.24,0.005,68.21,73.86,80.0,55.19,384.0,473.0,-0.231,44.2,56.64,0.001,37.27,2.6,1.7730000000000001,29.33,15.89,1.36,5793748.0,0.647,0.272,305.8,65.0,27.97,-0.175,62.87,71.7,76.81,46.93,382.0,493.0,-0.201,46.32,55.34,-0.187,38.98,3.62,1.791,29.29,19.4,1.03,1223129.0
Jason Day,0.48100000000000004,0.743,300.3,63.11,20.0,0.004,66.3,72.95,77.45,54.29,430.0,609.0,0.258,45.33,61.17,0.069,38.89,2.35,1.786,29.24,15.19,1.32,951209.0,0.146,0.628,299.7,63.66,13.33,-0.151,64.78,70.42,79.13,46.77,364.0,637.0,0.632,65.49,62.8,0.21600000000000003,41.51,2.1,1.746,28.45,14.78,1.45,1943898.0,0.535,0.47700000000000004,302.0,63.71,25.89,-0.083,69.7,75.65,82.85,51.02,375.0,566.0,0.025,52.38,59.6,0.35600000000000004,39.76,2.26,1.7469999999999999,28.97,14.32,1.6,2637480.0,0.17600000000000002,0.515,310.0,64.15,30.0,-0.14,65.28,70.52,77.92,49.5,383.0,573.0,0.479,62.5,62.35,0.77,42.57,2.21,1.716,28.24,14.87,1.59,5087461.0,0.311,0.58,306.2,64.44,25.0,-0.004,63.72,70.48,78.32,50.25,374.0,532.0,0.273,53.85,57.77,0.354,43.27,2.95,1.716,28.26,17.93,1.35,2978181.0
Jason Kokrak,0.478,0.672,305.7,63.53,19.44,0.09300000000000001,69.24,79.83,79.79,52.45,398.0,604.0,-0.205,52.94,55.52,0.5720000000000001,38.68,2.47,1.7369999999999999,28.87,15.95,1.55,3133928.0,0.633,0.574,312.4,65.12,37.96,0.168,68.64,74.73,79.92,57.65,349.0,510.0,-0.22699999999999998,43.75,59.14,-0.282,37.1,3.49,1.8030000000000002,29.56,15.68,1.32,1494604.0,0.55,1.054,306.4,63.55,23.17,0.745,68.77,76.0,78.43,52.99,353.0,549.0,-0.24100000000000002,47.5,60.67,-0.018000000000000002,38.89,3.27,1.761,29.22,14.63,1.58,2330212.0,0.36,0.517,309.5,64.37,30.81,0.257,70.37,76.7,80.82,57.24,378.0,499.0,-0.10099999999999999,40.88,55.11,0.022000000000000002,36.53,2.97,1.776,29.59,15.49,1.44,1794431.0,0.607,0.45799999999999996,306.4,64.18,24.73,0.077,66.78,73.83,79.13,50.65,388.0,546.0,-0.226,36.81,53.87,-0.405,36.61,4.62,1.806,29.97,18.54,1.11,1173708.0
Charles Howell III,0.46799999999999997,0.252,297.8,63.66,16.0,-0.47100000000000003,66.56,71.72,80.81,52.88,426.0,581.0,0.255,47.06,65.12,0.18899999999999997,38.33,3.0,1.801,29.36,14.0,1.35,823043.0,-0.132,-0.04,301.1,64.31,22.81,-0.3,68.76,72.0,85.33,51.49,412.0,531.0,0.392,50.48,57.47,0.217,37.76,2.82,1.768,29.33,15.3,1.37,1371807.0,0.262,0.518,302.8,63.46,16.87,-0.07200000000000001,70.51,73.82,82.32,52.21,392.0,559.0,0.32799999999999996,47.52,62.94,0.29100000000000004,37.73,2.44,1.7630000000000001,29.31,12.76,1.74,3039049.0,0.324,0.5820000000000001,300.9,63.1,21.59,0.163,69.33,74.07,81.26,52.58,390.0,522.0,0.095,55.76,60.87,0.21899999999999997,36.39,2.39,1.7819999999999998,29.5,14.0,1.44,2179725.0,0.016,0.32,296.9,63.39,10.9,0.223,67.01,73.12,80.35,54.05,382.0,543.0,0.081,51.35,62.63,0.172,38.41,2.1,1.7719999999999998,29.11,14.02,1.42,2606383.0
