PLAYER NAME,SG_off_tee_2021_AVERAGE,SG_tee_green_2021_AVERAGE,driving_dist_2021_AVG.,pct_ydg_tee_2021_AVG (%),driving_320+_2021_%,SG_approach_green_2021_AVERAGE,GIR_pct_2021_%,GOFIR_pct_2021_%,GIR_pct_fwy_2021_%,GIR_pct_not_fwy_2021_%,fwy_prox_2021_AVG,rough_prox_2021_AVG,SG_ATG_2021_AVERAGE,pct_sand_save_2021_%,scrambling_2021_%,SG_putt_2021_AVERAGE,pct_one_putt_2021_%,pct_three_putt_avoid_2021_%,putt_avg_2021_AVG,putts_per_rd_2021_AVG,bogey_avoid_2021_% MAKES BOGEY,btb_ratio_2021_BIRDIE TO BOGEY RATIO,money_2021_MONEY,SG_off_tee_2020_AVERAGE,SG_tee_green_2020_AVERAGE,driving_dist_2020_AVG.,pct_ydg_tee_2020_AVG (%),driving_320+_2020_%,SG_approach_green_2020_AVERAGE,GIR_pct_2020_%,GOFIR_pct_2020_%,GIR_pct_fwy_2020_%,GIR_pct_not_fwy_2020_%,fwy_prox_2020_AVG,rough_prox_2020_AVG,SG_ATG_2020_AVERAGE,pct_sand_save_2020_%,scrambling_2020_%,SG_putt_2020_AVERAGE,pct_one_putt_2020_%,pct_three_putt_avoid_2020_%,putt_avg_2020_AVG,putts_per_rd_2020_AVG,bogey_avoid_2020_% MAKES BOGEY,btb_ratio_2020_BIRDIE TO BOGEY RATIO,money_2020_MONEY,SG_off_tee_2019_AVERAGE,SG_tee_green_2019_AVERAGE,driving_dist_2019_AVG.,pct_ydg_tee_2019_AVG (%),driving_320+_2019_%,SG_approach_green_2019_AVERAGE,GIR_pct_2019_%,GOFIR_pct_2019_%,GIR_pct_fwy_2019_%,GIR_pct_not_fwy_2019_%,fwy_prox_2019_AVG,rough_prox_2019_AVG,SG_ATG_2019_AVERAGE,pct_sand_save_2019_%,scrambling_2019_%,SG_putt_2019_AVERAGE,pct_one_putt_2019_%,pct_three_putt_avoid_2019_%,putt_avg_2019_AVG,putts_per_rd_2019_AVG,bogey_avoid_2019_% MAKES BOGEY,btb_ratio_2019_BIRDIE TO BOGEY RATIO,money_2019_MONEY,SG_off_tee_2018_AVERAGE,SG_tee_green_2018_AVERAGE,driving_dist_2018_AVG.,pct_ydg_tee_2018_AVG (%),driving_320+_2018_%,SG_approach_green_2018_AVERAGE,GIR_pct_2018_%,GOFIR_pct_2018_%,GIR_pct_fwy_2018_%,GIR_pct_not_fwy_2018_%,fwy_prox_2018_AVG,rough_prox_2018_AVG,SG_ATG_2018_AVERAGE,pct_sand_save_2018_%,scrambling_2018_%,SG_putt_2018_AVERAGE,pct_one_putt_2018_%,pct_three_putt_avoid_2018_%,putt_avg_2018_AVG,putts_per_rd_2018_AVG,bogey_avoid_2018_% MAKES BOGEY,btb_ratio_2018_BIRDIE TO BOGEY RATIO,money_2018_MONEY,SG_off_tee_2017_AVERAGE,SG_tee_green_2017_AVERAGE,driving_dist_2017_AVG.,pct_ydg_tee_2017_AVG (%),driving_320+_2017_%,SG_approach_green_2017_AVERAGE,GIR_pct_2017_%,GOFIR_pct_2017_%,GIR_pct_fwy_2017_%,GIR_pct_not_fwy_2017_%,fwy_prox_2017_AVG,rough_prox_2017_AVG,SG_ATG_2017_AVERAGE,pct_sand_save_2017_%,scrambling_2017_%,SG_putt_2017_AVERAGE,pct_one_putt_2017_%,pct_three_putt_avoid_2017_%,putt_avg_2017_AVG,putts_per_rd_2017_AVG,bogey_avoid_2017_% MAKES BOGEY,btb_ratio_2017_BIRDIE TO BOGEY RATIO,money_2017_MONEY
Bryson DeChambeau,1.144,2.099,321.1,66.80,51.47,.696,66.67,80.34,80.87,50.25,"31' 2""","47' 8""",.259,48.89,61.27,.435,41.01,3.27,1.752,28.74,14.54,1.84,"$5,443,091",1.039,.908,322.1,67.88,56.45,-.090,68.46,75.54,80.52,53.78,"30' 1""","43' 8""",-.041,62.89,63.92,.658,43.19,2.15,1.726,28.26,12.99,1.94,"$4,998,495",.421,.641,302.5,63.69,15.97,.236,66.20,73.91,75.53,52.54,"31' 11""","44' 0""",-.016,52.29,62.33,.372,42.36,3.09,1.733,28.51,14.89,1.59,"$3,186,232",.586,1.212,305.7,64.33,25.81,.556,69.65,77.07,78.75,58.70,"31' 0""","40' 10""",.070,48.67,59.84,.346,39.31,3.58,1.758,29.18,14.99,1.61,"$8,094,489",.420,.383,299.4,63.72,14.61,-.020,65.48,72.07,76.24,52.80,"31' 4""","45' 0""",-.016,46.00,57.32,-.193,38.39,3.25,1.785,29.16,17.42,1.17,"$1,817,054"
Jon Rahm,.841,1.700,307.1,64.01,29.17,.582,72.11,85.90,83.80,57.32,"31' 0""","51' 0""",.326,50.00,63.07,-.019,38.43,2.55,1.750,29.04,14.00,1.79,"$3,556,232",.756,1.344,307.6,65.58,27.59,.283,70.31,76.90,83.50,50.50,"30' 7""","49' 5""",.304,58.82,64.52,.479,41.00,1.53,1.717,28.47,11.78,2.07,"$5,959,819",.692,1.170,305.6,64.37,24.22,.405,69.04,76.52,80.00,50.42,"30' 11""","43' 11""",.073,52.83,59.63,.336,39.22,2.21,1.736,28.78,14.05,1.77,"$4,990,110",.817,1.039,308.9,66.49,33.06,.047,70.12,77.56,82.73,54.62,"30' 9""","45' 1""",.176,48.54,57.18,-.151,38.89,3.54,1.747,29.14,15.82,1.60,"$3,992,678",.949,1.522,305.8,65.26,25.95,.515,68.61,76.61,78.25,56.42,"30' 8""","39' 6""",.057,58.78,63.33,.256,40.23,3.82,1.761,28.88,14.32,1.64,"$6,123,248"
Rory McIlroy,.774,1.064,318.2,64.96,48.68,.178,65.35,74.37,79.47,53.10,"32' 1""","48' 7""",.112,57.35,57.81,.040,42.11,3.36,1.743,28.76,17.11,1.48,"$1,782,342",.702,1.314,314.0,66.12,42.31,.504,67.78,74.95,84.08,50.41,"28' 11""","46' 2""",.108,45.16,60.63,-.071,41.02,2.69,1.738,28.57,14.63,1.68,"$4,408,415",1.195,2.126,313.5,65.85,35.94,.633,68.55,78.56,78.34,52.60,"29' 4""","41' 7""",.297,55.34,63.38,.425,42.32,1.80,1.701,28.38,12.42,2.09,"$7,785,286",.761,1.351,319.7,66.53,48.36,.269,66.30,73.31,81.13,51.59,"28' 8""","44' 4""",.322,52.43,62.97,.060,41.71,2.46,1.736,28.46,14.57,1.58,"$4,410,296",.965,1.382,317.2,67.26,43.18,.322,65.63,74.85,79.19,53.97,"31' 4""","42' 6""",.095,63.24,62.29,-.304,40.74,3.59,1.772,28.75,15.86,1.39,"$2,430,182"
Emiliano Grillo,.610,.833,299.9,63.64,13.28,.553,73.18,79.81,80.52,65.29,"28' 11""","40' 11""",-.329,46.05,61.49,-.013,37.67,2.52,1.756,29.30,12.50,1.91,"$1,482,028",.250,.723,295.7,63.06,7.89,.580,71.54,77.43,80.63,57.65,"28' 9""","43' 10""",-.107,46.74,53.15,-.905,33.76,3.59,1.803,30.23,16.32,1.32,"$849,538",.470,1.051,295.7,62.01,10.61,.926,68.73,73.54,76.75,51.72,"30' 4""","43' 0""",-.345,47.93,55.13,-.633,35.04,3.85,1.790,29.78,17.02,1.28,"$1,752,114",.364,.587,295.2,62.04,10.12,.345,68.84,73.59,76.80,51.17,"30' 3""","49' 4""",-.122,54.84,61.05,.546,40.10,2.72,1.754,29.04,14.43,1.51,"$2,493,163",.368,.532,293.3,61.97,10.76,.281,66.99,73.32,77.16,48.46,"31' 0""","44' 10""",-.116,53.28,55.71,-.173,38.12,3.51,1.784,29.33,17.50,1.18,"$1,567,015"
Ryan Moore,.567,.563,287.4,60.36,8.33,-.088,64.81,68.25,72.54,51.09,"32' 3""","45' 3""",.084,52.50,60.53,-.793,39.12,2.78,1.779,29.25,15.74,1.15,"$164,271",.291,.526,289.9,61.77,6.94,.370,68.56,73.37,77.62,54.17,"29' 10""","40' 5""",-.136,47.95,59.04,.033,40.40,2.53,1.742,28.82,14.90,1.47,"$957,540",.114,.765,282.2,59.98,3.79,.596,68.17,72.40,75.16,52.57,"31' 10""","44' 8""",.055,45.53,59.20,.062,39.86,2.55,1.736,28.82,15.09,1.49,"$1,838,788",.406,1.211,289.2,61.32,7.05,.532,68.80,73.91,76.49,55.05,"31' 2""","44' 5""",.273,47.14,64.16,-.271,38.60,2.56,1.777,29.17,13.39,1.49,"$1,986,608",-.006,.319,288.0,60.71,7.75,.498,65.05,72.39,73.10,50.14,"31' 4""","42' 11""",-.173,47.30,56.74,-.017,39.52,2.81,1.764,29.04,17.16,1.18,"$1,751,851"
Luke List,.537,.519,312.5,64.76,36.84,.078,66.67,73.77,79.77,55.74,"33' 5""","46' 3""",-.103,48.54,57.02,-.567,39.86,4.00,1.770,29.25,18.03,1.25,"$554,462",.387,.805,307.8,65.08,26.92,.300,69.48,76.93,79.64,58.39,"30' 7""","43' 4""",.118,53.85,57.52,-.504,35.75,3.54,1.803,29.77,15.70,1.36,"$731,507",.481,.482,313.3,64.59,34.13,-.005,65.43,73.33,75.85,55.80,"32' 4""","43' 2""",.006,46.46,54.59,-.280,37.74,3.44,1.786,29.29,18.52,1.16,"$1,391,408",.795,1.337,314.6,65.72,36.78,.194,68.36,75.93,79.64,58.71,"32' 5""","43' 0""",.349,52.22,58.41,-.467,36.43,3.33,1.794,29.45,15.96,1.37,"$2,710,736",.600,1.117,311.5,64.89,36.22,.443,69.10,76.74,79.50,59.64,"30' 6""","40' 8""",.074,46.43,56.33,-.426,36.90,3.74,1.780,29.52,16.44,1.41,"$1,813,219"
Bubba Watson,.516,1.132,304.5,63.35,25.00,.582,67.11,82.76,75.32,59.91,"33' 11""","46' 1""",.066,46.81,60.00,-.461,34.50,3.95,1.817,29.66,17.69,1.17,"$1,219,734",.649,.648,311.0,65.88,38.79,.208,67.68,74.85,80.68,53.75,"31' 1""","39' 10""",-.209,45.36,58.07,.064,37.54,2.27,1.766,29.14,15.49,1.36,"$1,565,323",.743,.624,311.6,66.29,33.62,-.052,66.76,75.56,78.81,54.41,"33' 1""","46' 4""",-.067,49.47,57.35,-.344,37.64,4.60,1.811,29.72,17.62,1.22,"$1,558,014",.780,.554,313.1,66.58,39.24,.005,68.21,73.86,80.00,55.19,"32' 0""","39' 5""",-.231,44.20,56.64,.001,37.27,2.60,1.773,29.33,15.89,1.36,"$5,793,748",.647,.272,305.8,65.00,27.97,-.175,62.87,71.70,76.81,46.93,"31' 10""","41' 1""",-.201,46.32,55.34,-.187,38.98,3.62,1.791,29.29,19.40,1.03,"$1,223,129"
Jason Day,.481,.743,300.3,63.11,20.00,.004,66.30,72.95,77.45,54.29,"35' 10""","50' 9""",.258,45.33,61.17,.069,38.89,2.35,1.786,29.24,15.19,1.32,"$951,209",.146,.628,299.7,63.66,13.33,-.151,64.78,70.42,79.13,46.77,"30' 4""","53' 1""",.632,65.49,62.80,.216,41.51,2.10,1.746,28.45,14.78,1.45,"$1,943,898",.535,.477,302.0,63.71,25.89,-.083,69.70,75.65,82.85,51.02,"31' 3""","47' 2""",.025,52.38,59.60,.356,39.76,2.26,1.747,28.97,14.32,1.60,"$2,637,480",.176,.515,310.0,64.15,30.00,-.140,65.28,70.52,77.92,49.50,"31' 11""","47' 9""",.479,62.50,62.35,.770,42.57,2.21,1.716,28.24,14.87,1.59,"$5,087,461",.311,.580,306.2,64.44,25.00,-.004,63.72,70.48,78.32,50.25,"31' 2""","44' 4""",.273,53.85,57.77,.354,43.27,2.95,1.716,28.26,17.93,1.35,"$2,978,181"
Jason Kokrak,.478,.672,305.7,63.53,19.44,.093,69.24,79.83,79.79,52.45,"33' 2""","50' 4""",-.205,52.94,55.52,.572,38.68,2.47,1.737,28.87,15.95,1.55,"$3,133,928",.633,.574,312.4,65.12,37.96,.168,68.64,74.73,79.92,57.65,"29' 1""","42' 6""",-.227,43.75,59.14,-.282,37.10,3.49,1.803,29.56,15.68,1.32,"$1,494,604",.550,1.054,306.4,63.55,23.17,.745,68.77,76.00,78.43,52.99,"29' 5""","45' 9""",-.241,47.50,60.67,-.018,38.89,3.27,1.761,29.22,14.63,1.58,"$2,330,212",.360,.517,309.5,64.37,30.81,.257,70.37,76.70,80.82,57.24,"31' 6""","41' 7""",-.101,40.88,55.11,.022,36.53,2.97,1.776,29.59,15.49,1.44,"$1,794,431",.607,.458,306.4,64.18,24.73,.077,66.78,73.83,79.13,50.65,"32' 4""","45' 6""",-.226,36.81,53.87,-.405,36.61,4.62,1.806,29.97,18.54,1.11,"$1,173,708"
Charles Howell III,.468,.252,297.8,63.66,16.00,-.471,66.56,71.72,80.81,52.88,"35' 6""","48' 5""",.255,47.06,65.12,.189,38.33,3.00,1.801,29.36,14.00,1.35,"$823,043",-.132,-.040,301.1,64.31,22.81,-.300,68.76,72.00,85.33,51.49,"34' 4""","44' 3""",.392,50.48,57.47,.217,37.76,2.82,1.768,29.33,15.30,1.37,"$1,371,807",.262,.518,302.8,63.46,16.87,-.072,70.51,73.82,82.32,52.21,"32' 8""","46' 7""",.328,47.52,62.94,.291,37.73,2.44,1.763,29.31,12.76,1.74,"$3,039,049",.324,.582,300.9,63.10,21.59,.163,69.33,74.07,81.26,52.58,"32' 6""","43' 6""",.095,55.76,60.87,.219,36.39,2.39,1.782,29.50,14.00,1.44,"$2,179,725",.016,.320,296.9,63.39,10.90,.223,67.01,73.12,80.35,54.05,"31' 10""","45' 3""",.081,51.35,62.63,.172,38.41,2.10,1.772,29.11,14.02,1.42,"$2,606,383"
Jhonattan Vegas,.450,.102,304.8,63.97,22.92,-.315,65.63,75.51,76.61,53.76,"33' 6""","45' 4""",-.231,49.32,54.88,-.137,39.47,2.43,1.760,29.00,18.29,1.24,"$609,261",.721,.426,309.0,64.91,33.70,-.148,70.22,75.53,78.34,59.77,"31' 2""","40' 11""",-.146,39.19,54.48,-.347,36.11,3.22,1.786,29.68,16.56,1.40,"$527,009",.753,.782,308.3,64.24,27.78,.219,69.29,77.41,77.95,60.87,"32' 0""","41' 4""",-.190,43.43,57.54,-.156,36.81,3.01,1.774,29.35,15.66,1.48,"$1,566,910",.294,.089,303.6,63.81,24.03,-.081,65.17,71.61,75.59,52.75,"33' 2""","47' 11""",-.124,39.64,58.60,-.059,37.83,3.68,1.807,29.43,17.42,1.12,"$1,137,444",.394,.506,301.3,64.10,20.51,.172,65.93,74.71,78.29,51.18,"32' 10""","41' 7""",-.060,43.70,57.61,-.413,36.85,3.64,1.805,29.67,17.22,1.22,"$2,944,738"
Patrick Cantlay,.434,.984,301.8,64.05,21.74,.558,68.72,82.46,81.57,53.63,"35' 1""","41' 5""",.386,59.32,68.34,.571,42.51,3.26,1.728,28.11,14.49,1.78,"$3,532,353",.404,1.097,303.1,65.59,25.00,.523,68.36,74.12,82.55,53.23,"30' 11""","42' 2""",.170,55.41,59.54,.219,41.43,2.54,1.723,28.61,14.73,1.62,"$2,118,336",.475,1.471,304.7,64.96,25.00,.640,67.21,75.24,79.41,53.02,"28' 10""","47' 6""",.356,58.04,66.12,.386,42.52,2.08,1.721,28.25,12.58,1.98,"$6,121,488",.622,1.278,303.1,64.97,18.42,.509,70.69,76.87,81.12,56.35,"30' 4""","46' 3""",.146,53.91,57.58,-.182,36.46,3.68,1.781,29.80,15.14,1.44,"$3,963,962",.623,1.111,298.9,63.06,13.64,.467,69.21,74.21,78.78,55.98,"32' 1""","42' 10""",.021,52.44,60.15,.159,37.85,2.08,1.756,29.19,13.77,1.61,"$2,049,632"
